experiment,category,seed,method,fit_images,branch_calibration_images,threshold_calibration_images,total_normal_images,fit_and_score_seconds,rss_mb,memory_vectors,memory_bytes,patchcore_scoring_seconds,branch_upper_quantile,image_auroc,image_ap,pixel_auroc,pixel_ap,threshold,threshold_alpha,threshold_calibration_count,threshold_conformal_rank,threshold_is_finite,threshold_min_attainable_alpha,image_f1_conformal,image_f1_normal95,image_precision_conformal,image_recall_conformal,image_specificity_conformal,image_balanced_accuracy_conformal,normal_fpr_conformal,false_alarms_per_1000_normals,test_true_positive,test_false_positive,test_true_negative,test_false_negative,weight,normal_budget,upper_quantile,branch_calibration_fraction,translation_px,brightness,descriptor_channels,condition,translation_dx,translation_dy,border_mode,registration_dx,registration_dy,interior_image_auroc,interior_image_ap,interior_normal_fpr,interior_recall,valid_pixel_fraction,normal_budget_requested,normal_budget_achieved,allocation_strategy,priority_target,priority_achieved
main,cable,20260716,patchcore_lite,156.0,34.0,34.0,224.0,0.14971904197591357,1765.765625,1800,691200,0.11958891697577201,0.995,0.9619565217391304,0.9785191614495161,0.9756520980270842,0.673867240664029,1.6365230083465576,0.05,34.0,34.0,True,0.02857142857142857,0.7310344827586207,0.7310344827586207,1.0,0.5760869565217391,1.0,0.7880434782608696,0.0,0.0,53,0,58,39,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,cable,20260716,patchcore_wr50_compact,156.0,34.0,34.0,,1.218663709005341,,1800,1843200,,,0.860944527736132,0.9210700031163216,0.9500377623502514,0.5324690578593465,1.9319849014282227,0.05,34.0,34.0,True,0.02857142857142857,0.6713286713286714,0.6713286713286714,0.9411764705882353,0.5217391304347826,0.9482758620689655,0.735007496251874,0.05172413793103448,51.724137931034484,48,3,55,44,,,,,,,256.0,,,,,,,,,,,,,,,,
main,capsule,20260714,freqpatch_lite,153.0,33.0,33.0,219.0,0.133536000008462,2007.171875,1800,691200,0.10754274998907931,0.995,0.7606701236537694,0.9271597998469643,0.9736782503317118,0.31635405905231345,1.3654834032058716,0.05,33.0,33.0,True,0.029411764705882353,0.5263157894736842,0.5263157894736842,0.9302325581395349,0.3669724770642202,0.8695652173913043,0.6182688472277622,0.13043478260869565,130.43478260869566,40,3,20,69,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260714,frequency_only,153.0,33.0,33.0,219.0,0.133536000008462,2005.171875,1800,691200,0.10754274998907931,0.995,0.66094934184284,0.8739485545076111,0.8675457550924193,0.11103402276506112,9.23883056640625,0.05,33.0,33.0,True,0.029411764705882353,0.07017543859649122,0.07017543859649122,0.8,0.03669724770642202,0.9565217391304348,0.4966094934184284,0.043478260869565216,43.47826086956522,4,1,22,105,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260714,padim_diag,153.0,33.0,33.0,219.0,0.133536000008462,2004.921875,1800,691200,0.10754274998907931,0.995,0.8292780215396889,0.9361535764846464,0.9547547388101552,0.1727682115791999,1.967374324798584,0.05,33.0,33.0,True,0.029411764705882353,0.7231638418079096,0.7231638418079096,0.9411764705882353,0.5871559633027523,0.8260869565217391,0.7066214599122458,0.17391304347826086,173.91304347826087,64,4,19,45,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260714,padim_freq_gate,153.0,33.0,33.0,219.0,0.133536000008462,2007.234375,1800,691200,0.10754274998907931,0.995,0.8296769046669326,0.9371729444764915,0.9548324909491004,0.17526855384239381,2.0745620727539062,0.05,33.0,33.0,True,0.029411764705882353,0.6976744186046512,0.6976744186046512,0.9523809523809523,0.5504587155963303,0.8695652173913043,0.7100119664938174,0.13043478260869565,130.43478260869566,60,3,20,49,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260714,patchcore_lite,153.0,33.0,33.0,219.0,0.133536000008462,2007.171875,1800,691200,0.10754274998907931,0.995,0.7606701236537694,0.9281676678606007,0.9737079442520158,0.3191391029450438,1.2997220754623413,0.05,33.0,33.0,True,0.029411764705882353,0.5359477124183006,0.5359477124183006,0.9318181818181818,0.3761467889908257,0.8695652173913043,0.622856003191065,0.13043478260869565,130.43478260869566,41,3,20,68,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,capsule,20260714,patchcore_wr50_compact,153.0,33.0,33.0,,1.0748491659760475,,1800,1843200,,,0.603111288392501,0.8594605853021579,0.9466153200707812,0.2609643441634964,2.404503345489502,0.05,33.0,33.0,True,0.029411764705882353,0.20967741935483872,0.20967741935483872,0.8666666666666667,0.11926605504587157,0.9130434782608695,0.5161547666533706,0.08695652173913043,86.95652173913044,13,2,21,96,,,,,,,256.0,,,,,,,,,,,,,,,,
main,capsule,20260715,freqpatch_lite,153.0,33.0,33.0,219.0,0.1385572089930065,2007.34375,1800,691200,0.11214874999132007,0.995,0.7638611886717193,0.9315709250650008,0.9749354787804786,0.332728940993668,2.047638177871704,0.05,33.0,33.0,True,0.029411764705882353,0.31007751937984496,0.31007751937984496,1.0,0.1834862385321101,1.0,0.591743119266055,0.0,0.0,20,0,23,89,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260715,frequency_only,153.0,33.0,33.0,219.0,0.1385572089930065,2007.1875,1800,691200,0.11214874999132007,0.995,0.6601515755883526,0.873489214217035,0.863005279356281,0.11082657645482137,15.228607177734375,0.05,33.0,33.0,True,0.029411764705882353,0.01818181818181818,0.01818181818181818,1.0,0.009174311926605505,1.0,0.5045871559633027,0.0,0.0,1,0,23,108,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260715,padim_diag,153.0,33.0,33.0,219.0,0.1385572089930065,2007.34375,1800,691200,0.11214874999132007,0.995,0.8193059433585959,0.9365887197736735,0.9524777882147767,0.1717865484066586,7.947271347045898,0.05,33.0,33.0,True,0.029411764705882353,0.24,0.24,0.9375,0.13761467889908258,0.9565217391304348,0.5470682090147587,0.043478260869565216,43.47826086956522,15,1,22,94,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260715,padim_freq_gate,153.0,33.0,33.0,219.0,0.1385572089930065,2007.34375,1800,691200,0.11214874999132007,0.995,0.8205025927403271,0.9377475261439446,0.9525836947790758,0.17491304912635658,7.947271347045898,0.05,33.0,33.0,True,0.029411764705882353,0.2677165354330709,0.2677165354330709,0.9444444444444444,0.1559633027522936,0.9565217391304348,0.5562425209413642,0.043478260869565216,43.47826086956522,17,1,22,92,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260715,patchcore_lite,153.0,33.0,33.0,219.0,0.1385572089930065,2007.34375,1800,691200,0.11214874999132007,0.995,0.7674511368169128,0.9331811492943014,0.9749795824301151,0.3353266881113157,1.9374144077301025,0.05,33.0,33.0,True,0.029411764705882353,0.31007751937984496,0.31007751937984496,1.0,0.1834862385321101,1.0,0.591743119266055,0.0,0.0,20,0,23,89,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,capsule,20260715,patchcore_wr50_compact,153.0,33.0,33.0,,1.0907875830016565,,1800,1843200,,,0.5883526126844835,0.8592255738558947,0.947537652287436,0.27042861421756526,2.247605323791504,0.05,33.0,33.0,True,0.029411764705882353,0.22580645161290322,0.22580645161290322,0.9333333333333333,0.12844036697247707,0.9565217391304348,0.5424810530514559,0.043478260869565216,43.47826086956522,14,1,22,95,,,,,,,256.0,,,,,,,,,,,,,,,,
main,capsule,20260716,freqpatch_lite,153.0,33.0,33.0,219.0,0.13631933301803656,2007.21875,1800,691200,0.10949641698971391,0.995,0.7850019944156363,0.9397850119774465,0.9744955236202277,0.32814768352113316,2.5234899520874023,0.05,33.0,33.0,True,0.029411764705882353,0.18333333333333332,0.18333333333333332,1.0,0.10091743119266056,1.0,0.5504587155963303,0.0,0.0,11,0,23,98,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260716,frequency_only,153.0,33.0,33.0,219.0,0.13631933301803656,2007.390625,1800,691200,0.10949641698971391,0.995,0.6589549262066214,0.8733498349503916,0.8681382955844921,0.10984413062150868,8.246763229370117,0.05,33.0,33.0,True,0.029411764705882353,0.036036036036036036,0.036036036036036036,1.0,0.01834862385321101,1.0,0.5091743119266054,0.0,0.0,2,0,23,107,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260716,padim_diag,153.0,33.0,33.0,219.0,0.13631933301803656,2007.21875,1800,691200,0.10949641698971391,0.995,0.8097327483047467,0.9299330207988205,0.9522666762576106,0.16704496879361566,18.751413345336914,0.05,33.0,33.0,True,0.029411764705882353,0.08771929824561403,0.08771929824561403,1.0,0.045871559633027525,1.0,0.5229357798165137,0.0,0.0,5,0,23,104,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260716,padim_freq_gate,153.0,33.0,33.0,219.0,0.13631933301803656,2007.4375,1800,691200,0.10949641698971391,0.995,0.8113282808137217,0.9310167783399994,0.952353863906187,0.16939142190244535,18.751413345336914,0.05,33.0,33.0,True,0.029411764705882353,0.08771929824561403,0.08771929824561403,1.0,0.045871559633027525,1.0,0.5229357798165137,0.0,0.0,5,0,23,104,,,,,,,,,,,,,,,,,,,,,,,
main,capsule,20260716,patchcore_lite,153.0,33.0,33.0,219.0,0.13631933301803656,2007.21875,1800,691200,0.10949641698971391,0.995,0.7838053450339052,0.9392652313331755,0.974544215074603,0.3320539734853202,2.4445385932922363,0.05,33.0,33.0,True,0.029411764705882353,0.18333333333333332,0.18333333333333332,1.0,0.10091743119266056,1.0,0.5504587155963303,0.0,0.0,11,0,23,98,,,,,,,,,,,,,,,,,,,,,,,
strong_baseline,capsule,20260716,patchcore_wr50_compact,153.0,33.0,33.0,,1.070593958022073,,1800,1843200,,,0.5795771838851216,0.8530007058728226,0.9448577797624602,0.2714598599307247,3.007493734359741,0.05,33.0,33.0,True,0.029411764705882353,0.05309734513274336,0.05309734513274336,0.75,0.027522935779816515,0.9565217391304348,0.4920223374551257,0.043478260869565216,43.47826086956522,3,1,22,106,,,,,,,256.0,,,,,,,,,,,,,,,,
main,carpet,20260714,freqpatch_lite,196.0,42.0,42.0,280.0,0.16190070798620582,1742.515625,1800,691200,0.1232190000009723,0.995,0.9141252006420545,0.9736248894939271,0.9814747950842718,0.6078804210802371,1.5734189748764038,0.05,42.0,41.0,True,0.023255813953488372,0.9248554913294798,0.9248554913294798,0.9523809523809523,0.898876404494382,0.8571428571428571,0.8780096308186196,0.14285714285714285,142.85714285714286,80,4,24,9,,,,,,,,,,,,,,,,,,,,,,,
